"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 15 14:14:38 GMT 2022","Fri Jul 15 14:14:41 GMT 2022","2858","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Fri Jul 15 14:14:33 GMT 2022","Fri Jul 15 14:14:38 GMT 2022","4293","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Fri Jul 15 14:15:43 GMT 2022","Fri Jul 15 14:15:48 GMT 2022","4544","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","deleteTopic","should delete topic",""
"passed","Fri Jul 15 14:15:58 GMT 2022","Fri Jul 15 14:16:01 GMT 2022","2925","","com.provectus.kafka.ui.SmokeTests","","com.provectus.kafka.ui.SmokeTests","mainPageLoads","main page should load",""
"passed","Fri Jul 15 14:15:19 GMT 2022","Fri Jul 15 14:15:22 GMT 2022","3550","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","deleteConnector","should delete connector",""
"skipped","Fri Jul 15 14:15:48 GMT 2022","Fri Jul 15 14:15:48 GMT 2022","0","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","updateTopic","should update a topic",""
"passed","Fri Jul 15 14:15:22 GMT 2022","Fri Jul 15 14:15:33 GMT 2022","10737","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","updateConnector","should update a connector",""
"passed","Fri Jul 15 14:14:46 GMT 2022","Fri Jul 15 14:14:49 GMT 2022","3599","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"skipped","Fri Jul 15 14:15:53 GMT 2022","Fri Jul 15 14:15:53 GMT 2022","1","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","produceMessage","produce message",""
"passed","Fri Jul 15 14:15:48 GMT 2022","Fri Jul 15 14:15:53 GMT 2022","5295","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","createTopic","should create a topic",""
"passed","Fri Jul 15 14:15:06 GMT 2022","Fri Jul 15 14:15:19 GMT 2022","12527","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","createConnector","should create a connector",""
"passed","Fri Jul 15 14:14:41 GMT 2022","Fri Jul 15 14:14:46 GMT 2022","5281","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Fri Jul 15 14:14:29 GMT 2022","Fri Jul 15 14:14:33 GMT 2022","4882","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Fri Jul 15 14:14:01 GMT 2022","Fri Jul 15 14:14:18 GMT 2022","16225","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Fri Jul 15 14:14:18 GMT 2022","Fri Jul 15 14:14:29 GMT 2022","10646","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","updateSchemaAvro","should update AVRO schema",""
